state,female,male
Alabama,3219,8243
Alaska,670,1140
Arizona,5598,11580
Arkansas,1963,4846
California,37211,69058
Colorado,5024,8861
Connecticut,5590,9016
Delaware,1167,1781
District of Columbia,3114,3662
Florida,15905,37668
Georgia,7884,16011
Hawaii,1094,2428
Idaho,671,2192
Illinois,15417,25465
Indiana,4885,11243
Iowa,2547,5552
Kansas,2514,5055
Kentucky,3371,7812
Louisiana,3959,9051
Maine,1573,2904
Maryland,8949,14511
Massachusetts,13825,20209
Michigan,12799,23725
Minnesota,5931,11280
Mississippi,1649,4682
Missouri,6287,12988
Montana,621,1631
Nebraska,1763,3633
Nevada,1554,4283
New Hampshire,1352,2706
New Jersey,10342,18394
New Mexico,1973,3435
New York,32470,51916
North Carolina,9169,17720
North Dakota,552,1343
Ohio,13704,26082
Oklahoma,2689,6384
Oregon,4030,7426
Pennsylvania,16715,30954
Rhode Island,1912,2836
South Carolina,3756,8486
South Dakota,536,1388
Tennessee,5622,12717
Texas,20688,41054
Utah,1606,4726
Vermont,814,1369
Virginia,7662,14426
Washington,7209,13315
West Virginia,1617,3822
Wisconsin,5421,11212
Wyoming,309,833