state,date,office,district,party,votes,uncontested,year
TX,results_national_2018-03-06,U.S. House,1,DEM,15039,False,2018
TX,results_national_2018-03-06,U.S. House,2,DEM,28598,False,2018
TX,results_national_2018-03-06,U.S. House,3,DEM,31181,False,2018
TX,results_national_2018-03-06,U.S. House,4,DEM,13104,False,2018
TX,results_national_2018-03-06,U.S. House,5,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,6,DEM,29389,False,2018
TX,results_national_2018-03-06,U.S. House,9,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,10,DEM,38616,False,2018
TX,results_national_2018-03-06,U.S. House,11,DEM,8766,False,2018
TX,results_national_2018-03-06,U.S. House,13,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,14,DEM,24381,False,2018
TX,results_national_2018-03-06,U.S. House,15,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,16,DEM,49868,False,2018
TX,results_national_2018-03-06,U.S. House,17,DEM,22643,False,2018
TX,results_national_2018-03-06,U.S. House,18,DEM,40118,False,2018
TX,results_national_2018-03-06,U.S. House,20,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,21,DEM,50664,False,2018
TX,results_national_2018-03-06,U.S. House,22,DEM,29755,False,2018
TX,results_national_2018-03-06,U.S. House,23,DEM,44320,False,2018
TX,results_national_2018-03-06,U.S. House,24,DEM,27740,False,2018
TX,results_national_2018-03-06,U.S. House,26,DEM,26219,False,2018
TX,results_national_2018-03-06,U.S. House,27,DEM,21187,False,2018
TX,results_national_2018-03-06,U.S. House,28,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,29,DEM,18443,False,2018
TX,results_national_2018-03-06,U.S. House,30,DEM,50987,False,2018
TX,results_national_2018-03-06,U.S. House,25,DEM,42406,False,2018
TX,results_national_2018-03-06,U.S. House,31,DEM,30841,False,2018
TX,results_national_2018-03-06,U.S. House,32,DEM,40084,False,2018
TX,results_national_2018-03-06,U.S. House,1,REP,72463,False,2018
TX,results_national_2018-03-06,U.S. House,2,REP,46140,False,2018
TX,results_national_2018-03-06,U.S. House,3,REP,53712,False,2018
TX,results_national_2018-03-06,U.S. House,4,REP,73804,False,2018
TX,results_national_2018-03-06,U.S. House,5,REP,58577,False,2018
TX,results_national_2018-03-06,U.S. House,6,REP,45785,False,2018
TX,results_national_2018-03-06,U.S. House,7,REP,38032,False,2018
TX,results_national_2018-03-06,U.S. House,8,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,11,REP,76457,False,2018
TX,results_national_2018-03-06,U.S. House,12,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,13,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,14,REP,44542,False,2018
TX,results_national_2018-03-06,U.S. House,17,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,18,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,19,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,21,REP,71396,False,2018
TX,results_national_2018-03-06,U.S. House,22,REP,45647,False,2018
TX,results_national_2018-03-06,U.S. House,23,REP,30951,False,2018
TX,results_national_2018-03-06,U.S. House,24,REP,40735,False,2018
TX,results_national_2018-03-06,U.S. House,25,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,26,REP,54974,False,2018
TX,results_national_2018-03-06,U.S. House,27,REP,43893,False,2018
TX,results_national_2018-03-06,U.S. House,31,REP,52697,False,2018
TX,results_national_2018-03-06,U.S. House,32,REP,41359,False,2018
TX,results_national_2018-03-06,U.S. House,10,REP,52294,False,2018
TX,results_national_2018-03-06,U.S. House,15,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,16,REP,10489,False,2018
TX,results_national_2018-03-06,U.S. House,7,DEM,33176,False,2018
TX,results_national_2018-03-06,U.S. House,8,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,12,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,19,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,29,REP,6220,False,2018
TX,results_national_2018-03-06,U.S. House,33,DEM,21231,False,2018
TX,results_national_2018-03-06,U.S. House,33,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,34,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,34,REP,0,True,2018
TX,results_national_2018-03-06,U.S. House,35,DEM,0,True,2018
TX,results_national_2018-03-06,U.S. House,35,REP,13281,False,2018
TX,results_national_2018-03-06,U.S. House,36,DEM,13675,False,2018
TX,results_national_2018-03-06,U.S. House,36,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,3,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,4,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,5,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,6,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,7,REP,6261,False,2018
IL,results_national_2018-03-20,U.S. House,8,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,9,REP,25366,False,2018
IL,results_national_2018-03-20,U.S. House,11,REP,29548,False,2018
IL,results_national_2018-03-20,U.S. House,12,REP,37769,False,2018
IL,results_national_2018-03-20,U.S. House,13,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,14,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,15,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,16,REP,65520,False,2018
IL,results_national_2018-03-20,U.S. House,17,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,18,REP,78069,False,2018
IL,results_national_2018-03-20,U.S. House,1,REP,0,True,2018
IL,results_national_2018-03-20,U.S. House,6,DEM,62990,False,2018
IL,results_national_2018-03-20,U.S. House,8,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,9,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,10,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,17,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,2,DEM,95586,False,2018
IL,results_national_2018-03-20,U.S. House,2,REP,13358,False,2018
IL,results_national_2018-03-20,U.S. House,18,DEM,35785,False,2018
IL,results_national_2018-03-20,U.S. House,10,REP,23802,False,2018
IL,results_national_2018-03-20,U.S. House,1,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,3,DEM,92108,False,2018
IL,results_national_2018-03-20,U.S. House,4,DEM,71231,False,2018
IL,results_national_2018-03-20,U.S. House,5,DEM,100633,False,2018
IL,results_national_2018-03-20,U.S. House,7,DEM,105425,False,2018
IL,results_national_2018-03-20,U.S. House,11,DEM,0,True,2018
IL,results_national_2018-03-20,U.S. House,12,DEM,49382,False,2018
IL,results_national_2018-03-20,U.S. House,13,DEM,53266,False,2018
IL,results_national_2018-03-20,U.S. House,14,DEM,48890,False,2018
IL,results_national_2018-03-20,U.S. House,15,DEM,27693,False,2018
IL,results_national_2018-03-20,U.S. House,16,DEM,41663,False,2018
IL,results_national_2018-03-20,U.S. House,12,Grn,0,True,2018
IN,results_national_2018-05-08,U.S. House,1,DEM,52476,False,2018
IN,results_national_2018-05-08,U.S. House,1,REP,22080,False,2018
IN,results_national_2018-05-08,U.S. House,2,DEM,36927,False,2018
IN,results_national_2018-05-08,U.S. House,2,REP,54618,False,2018
IN,results_national_2018-05-08,U.S. House,3,DEM,20715,False,2018
IN,results_national_2018-05-08,U.S. House,3,REP,0,True,2018
IN,results_national_2018-05-08,U.S. House,4,DEM,18701,False,2018
IN,results_national_2018-05-08,U.S. House,4,REP,80142,False,2018
IN,results_national_2018-05-08,U.S. House,5,DEM,34111,False,2018
IN,results_national_2018-05-08,U.S. House,5,REP,0,True,2018
IN,results_national_2018-05-08,U.S. House,6,DEM,23182,False,2018
IN,results_national_2018-05-08,U.S. House,6,REP,73465,False,2018
IN,results_national_2018-05-08,U.S. House,7,DEM,42536,False,2018
IN,results_national_2018-05-08,U.S. House,7,REP,22675,False,2018
IN,results_national_2018-05-08,U.S. House,8,DEM,0,True,2018
IN,results_national_2018-05-08,U.S. House,8,REP,57822,False,2018
IN,results_national_2018-05-08,U.S. House,9,DEM,37630,False,2018
IN,results_national_2018-05-08,U.S. House,9,REP,60329,False,2018
NC,results_national_2018-05-08,U.S. House,7,DEM,31945,False,2018
NC,results_national_2018-05-08,U.S. House,7,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,8,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,9,DEM,45660,False,2018
NC,results_national_2018-05-08,U.S. House,11,DEM,33031,False,2018
NC,results_national_2018-05-08,U.S. House,1,DEM,0,True,2018
NC,results_national_2018-05-08,U.S. House,2,DEM,32751,False,2018
NC,results_national_2018-05-08,U.S. House,4,DEM,67366,False,2018
NC,results_national_2018-05-08,U.S. House,5,DEM,28347,False,2018
NC,results_national_2018-05-08,U.S. House,6,DEM,33546,False,2018
NC,results_national_2018-05-08,U.S. House,8,DEM,28451,False,2018
NC,results_national_2018-05-08,U.S. House,10,DEM,0,True,2018
NC,results_national_2018-05-08,U.S. House,12,DEM,45275,False,2018
NC,results_national_2018-05-08,U.S. House,3,REP,48508,False,2018
NC,results_national_2018-05-08,U.S. House,9,REP,35494,False,2018
NC,results_national_2018-05-08,U.S. House,11,REP,41038,False,2018
NC,results_national_2018-05-08,U.S. House,1,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,5,REP,40237,False,2018
NC,results_national_2018-05-08,U.S. House,6,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,10,REP,48154,False,2018
NC,results_national_2018-05-08,U.S. House,12,REP,7435,False,2018
NC,results_national_2018-05-08,U.S. House,13,DEM,27761,False,2018
NC,results_national_2018-05-08,U.S. House,13,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,2,REP,23071,False,2018
NC,results_national_2018-05-08,U.S. House,4,REP,0,True,2018
NC,results_national_2018-05-08,U.S. House,2,Lib,0,True,2018
NC,results_national_2018-05-08,U.S. House,4,Lib,682,False,2018
NC,results_national_2018-05-08,U.S. House,9,Lib,0,True,2018
NC,results_national_2018-05-08,U.S. House,11,Lib,0,True,2018
NC,results_national_2018-05-08,U.S. House,13,Lib,0,True,2018
OH,results_national_2018-05-08,U.S. House,1,REP,49134,False,2018
OH,results_national_2018-05-08,U.S. House,2,REP,0,True,2018
OH,results_national_2018-05-08,U.S. House,3,REP,20772,False,2018
OH,results_national_2018-05-08,U.S. House,4,REP,65344,False,2018
OH,results_national_2018-05-08,U.S. House,5,REP,61625,False,2018
OH,results_national_2018-05-08,U.S. House,6,REP,59261,False,2018
OH,results_national_2018-05-08,U.S. House,7,REP,53811,False,2018
OH,results_national_2018-05-08,U.S. House,8,REP,0,True,2018
OH,results_national_2018-05-08,U.S. House,9,REP,20784,False,2018
OH,results_national_2018-05-08,U.S. House,10,REP,53473,False,2018
OH,results_national_2018-05-08,U.S. House,11,REP,13180,False,2018
OH,results_national_2018-05-08,U.S. House,12,REP,67133,False,2018
OH,results_national_2018-05-08,U.S. House,13,REP,0,True,2018
OH,results_national_2018-05-08,U.S. House,14,REP,0,True,2018
OH,results_national_2018-05-08,U.S. House,15,REP,0,True,2018
OH,results_national_2018-05-08,U.S. House,16,REP,64187,False,2018
OH,results_national_2018-05-08,U.S. House,1,DEM,0,True,2018
OH,results_national_2018-05-08,U.S. House,2,DEM,32860,False,2018
OH,results_national_2018-05-08,U.S. House,3,DEM,0,True,2018
OH,results_national_2018-05-08,U.S. House,4,DEM,20892,False,2018
OH,results_national_2018-05-08,U.S. House,5,DEM,26081,False,2018
OH,results_national_2018-05-08,U.S. House,6,DEM,29289,False,2018
OH,results_national_2018-05-08,U.S. House,7,DEM,29755,False,2018
OH,results_national_2018-05-08,U.S. House,8,DEM,19614,False,2018
OH,results_national_2018-05-08,U.S. House,9,DEM,48009,False,2018
OH,results_national_2018-05-08,U.S. House,10,DEM,34030,False,2018
OH,results_national_2018-05-08,U.S. House,11,DEM,0,True,2018
OH,results_national_2018-05-08,U.S. House,12,DEM,43885,False,2018
OH,results_national_2018-05-08,U.S. House,13,DEM,62492,False,2018
OH,results_national_2018-05-08,U.S. House,14,DEM,0,True,2018
OH,results_national_2018-05-08,U.S. House,15,DEM,34802,False,2018
OH,results_national_2018-05-08,U.S. House,16,DEM,41463,False,2018
WV,results_national_2018-05-08,U.S. House,1,DEM,48703,False,2018
WV,results_national_2018-05-08,U.S. House,2,DEM,46082,False,2018
WV,results_national_2018-05-08,U.S. House,3,DEM,57327,False,2018
WV,results_national_2018-05-08,U.S. House,2,REP,0,True,2018
WV,results_national_2018-05-08,U.S. House,1,REP,0,True,2018
WV,results_national_2018-05-08,U.S. House,3,REP,37585,False,2018
ID,results_national_2018-05-15,U.S. House,1,DEM,27524,False,2018
ID,results_national_2018-05-15,U.S. House,2,DEM,27618,False,2018
ID,results_national_2018-05-15,U.S. House,1,REP,99244,False,2018
ID,results_national_2018-05-15,U.S. House,2,REP,0,True,2018
NE,results_national_2018-05-15,U.S. House,1,DEM,33287,False,2018
NE,results_national_2018-05-15,U.S. House,1,REP,0,True,2018
NE,results_national_2018-05-15,U.S. House,2,DEM,39352,False,2018
NE,results_national_2018-05-15,U.S. House,2,REP,0,True,2018
NE,results_national_2018-05-15,U.S. House,3,DEM,0,True,2018
NE,results_national_2018-05-15,U.S. House,3,REP,77163,False,2018
OR,results_national_2018-05-15,U.S. House,1,REP,33822,False,2018
OR,results_national_2018-05-15,U.S. House,2,REP,82338,False,2018
OR,results_national_2018-05-15,U.S. House,4,REP,62178,False,2018
OR,results_national_2018-05-15,U.S. House,5,REP,43155,False,2018
OR,results_national_2018-05-15,U.S. House,1,DEM,60593,False,2018
OR,results_national_2018-05-15,U.S. House,2,DEM,49760,False,2018
OR,results_national_2018-05-15,U.S. House,4,DEM,82591,False,2018
OR,results_national_2018-05-15,U.S. House,5,DEM,57775,False,2018
OR,results_national_2018-05-15,U.S. House,3,DEM,69436,False,2018
OR,results_national_2018-05-15,U.S. House,3,Oth,1273,False,2018
PA,results_national_2018-05-15,U.S. House,1,REP,46825,False,2018
PA,results_national_2018-05-15,U.S. House,3,DEM,89259,False,2018
PA,results_national_2018-05-15,U.S. House,4,DEM,58701,False,2018
PA,results_national_2018-05-15,U.S. House,5,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,6,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,7,REP,31793,False,2018
PA,results_national_2018-05-15,U.S. House,8,REP,31281,False,2018
PA,results_national_2018-05-15,U.S. House,9,REP,50141,False,2018
PA,results_national_2018-05-15,U.S. House,10,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,11,REP,58065,False,2018
PA,results_national_2018-05-15,U.S. House,12,REP,59332,False,2018
PA,results_national_2018-05-15,U.S. House,13,REP,66677,False,2018
PA,results_national_2018-05-15,U.S. House,14,REP,41979,False,2018
PA,results_national_2018-05-15,U.S. House,15,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,16,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,17,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,18,DEM,68367,False,2018
PA,results_national_2018-05-15,U.S. House,1,DEM,48946,False,2018
PA,results_national_2018-05-15,U.S. House,2,DEM,36075,False,2018
PA,results_national_2018-05-15,U.S. House,2,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,3,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,4,REP,0,True,2018
PA,results_national_2018-05-15,U.S. House,5,DEM,59228,False,2018
PA,results_national_2018-05-15,U.S. House,6,DEM,0,True,2018
PA,results_national_2018-05-15,U.S. House,7,DEM,45119,False,2018
PA,results_national_2018-05-15,U.S. House,8,DEM,0,True,2018
PA,results_national_2018-05-15,U.S. House,9,DEM,27086,False,2018
PA,results_national_2018-05-15,U.S. House,10,DEM,38369,False,2018
PA,results_national_2018-05-15,U.S. House,11,DEM,0,True,2018
PA,results_national_2018-05-15,U.S. House,12,DEM,25253,False,2018
PA,results_national_2018-05-15,U.S. House,13,DEM,0,True,2018
PA,results_national_2018-05-15,U.S. House,14,DEM,41254,False,2018
PA,results_national_2018-05-15,U.S. House,15,DEM,27037,False,2018
PA,results_national_2018-05-15,U.S. House,16,DEM,38807,False,2018
